CIDADE,REG_ADM,ANO,MES,DESC_MES,SEXO,TURNO,TIPO,VEIC,FAIX_ETAR,IDADE,HORA,VITIMA,LOCAL,DIA_SEM,VIA,LAT,LONG,NOME,geometry
SAO ROQUE,Sorocaba,2017,4,ABRIL,FEMININO,TARDE,ATROPELAMENTO,PEDESTRE,80 ou mais,81,,PEDESTRE,PUBLICO,TERÇA,Vias Municipais,-23.527986,-47.137083000000004,AVENIDA ANTÔNINO DIAS BASTOS prox. mercado leve,POINT (-5247276.077040274 -2695995.726589891)
SOROCABA,Sorocaba,2017,4,ABRIL,MASCULINO,MANHA,ATROPELAMENTO,PEDESTRE,55-59,57,,PEDESTRE,PUBLICO,QUINTA,Vias Municipais,-23.430308,-47.391923,RUA DR JURGEN ULDERUP,POINT (-5275644.736074029 -2684140.726477124)
SOROCABA,Sorocaba,2017,4,ABRIL,FEMININO,TARDE,OUTROS,AUTOMOVEL,50-54,53,,NAO DISPONIVEL,PUBLICO,QUINTA,Rodovias,-23.50218201,-47.37447934,SP 270,POINT (-5273702.916725259 -2692863.089923042)
SUZANO,Metropolitana de São Paulo,2017,4,ABRIL,MASCULINO,TARDE,OUTROS,AUTOMOVEL,25-29,27,,CONDUTOR,PUBLICO,SÁBADO,Vias Municipais,-23.61400158,-46.37676514,ESTRADA DOS FERNANDES,POINT (-5162637.88002404 -2706442.56753834)
SUZANO,Metropolitana de São Paulo,2017,4,ABRIL,MASCULINO,NOITE,ATROPELAMENTO,PEDESTRE,45-49,45,,PEDESTRE,PUBLICO,SÁBADO,Rodovias,-23.62430008,-46.32593515,SP 031,POINT (-5156979.511420214 -2707693.809256963)
SUZANO,Metropolitana de São Paulo,2017,4,ABRIL,MASCULINO,NAO DISPONIVEL,ATROPELAMENTO,PEDESTRE,40-44,44,,PEDESTRE,PUBLICO,QUARTA,Rodovias,-23.60956829,-46.299615700000004,SPA 058/031,POINT (-5154049.643648256 -2705903.964284481)
VARZEA PAULISTA,Campinas,2017,4,ABRIL,MASCULINO,MADRUGADA,CHOQUE,AUTOMOVEL,65-69,68,,CONDUTOR,PUBLICO,DOMINGO,Vias Municipais,-23.197963,-46.816871,AVENIDA PACAEMBU,POINT (-5211630.240254377 -2655976.534074625)
ARACARIGUAMA,Sorocaba,2017,5,MAIO,MASCULINO,TARDE,COLISAO,CAMINHAO,30-34,33,,CONDUTOR,PUBLICO,TERÇA,Rodovias,-23.46404562,-47.03008471,SP 280,POINT (-5235365.081881722 -2688234.407497973)
ARACARIGUAMA,Sorocaba,2017,5,MAIO,MASCULINO,NOITE,ATROPELAMENTO,PEDESTRE,25-29,25,,PEDESTRE,PUBLICO,TERÇA,Rodovias,-23.43814294,-47.11573194,SP 280,POINT (-5244899.287913175 -2685091.315203582)
ARACARIGUAMA,Sorocaba,2017,5,MAIO,MASCULINO,NOITE,COLISAO,AUTOMOVEL,35-39,37,,CONDUTOR,PUBLICO,SÁBADO,Rodovias,-23.45786402,-47.04860933,SP 280,POINT (-5237427.23314726 -2687484.261566069)
ARACARIGUAMA,Sorocaba,2017,5,MAIO,MASCULINO,NOITE,ATROPELAMENTO,PEDESTRE,40-44,41,,PEDESTRE,PUBLICO,TERÇA,Rodovias,-23.43674802,-47.0744229,SP 280,POINT (-5240300.786615217 -2684922.069806854)
ARUJA,Metropolitana de São Paulo,2017,5,MAIO,FEMININO,MADRUGADA,COLISAO,AUTOMOVEL,60-64,60,,PASSAGEIRO,PUBLICO,DOMINGO,Rodovias,-23.41874857,-46.28306593,SP 088,POINT (-5152207.331679108 -2682738.359902247)
ARUJA,Metropolitana de São Paulo,2017,5,MAIO,FEMININO,NOITE,COLISAO,MOTOCICLETA,40-44,41,,PASSAGEIRO,PUBLICO,SÁBADO,Rodovias,-23.42657223,-46.28033243,SP 088,POINT (-5151903.039851027 -2683687.497040152)
ARUJA,Metropolitana de São Paulo,2017,5,MAIO,MASCULINO,NOITE,COLISAO,MOTOCICLETA,55-59,56,,CONDUTOR,PUBLICO,SÁBADO,Rodovias,-23.42657223,-46.28033243,SP 088,POINT (-5151903.039851027 -2683687.497040152)
ARUJA,Metropolitana de São Paulo,2017,5,MAIO,MASCULINO,NOITE,ATROPELAMENTO,PEDESTRE,55-59,58,,PEDESTRE,PUBLICO,QUINTA,Vias Municipais,-23.393711,-46.325612,ALAMEDA NASSIMA JORGE MIGUEL,POINT (-5156943.538526763 -2679701.272799076)
ATIBAIA,Campinas,2017,5,MAIO,MASCULINO,NOITE,ATROPELAMENTO,PEDESTRE,NAO DISPONIVEL,NAO DISPONIVEL,,PEDESTRE,PUBLICO,SEXTA,Rodovias,-23.12846207,-46.57661415,BR 381,POINT (-5184884.97005278 -2647561.362167447)
BARUERI,Metropolitana de São Paulo,2017,5,MAIO,MASCULINO,TARDE,COLISAO,AUTOMOVEL,50-54,54,,CONDUTOR,PUBLICO,QUINTA,Vias Municipais,-23.512983,-46.875886,ESTRADA DE JANDIRA PRÓX.CPTM JD. BELVAL,POINT (-5218199.760003542 -2694174.26892295)
BARUERI,Metropolitana de São Paulo,2017,5,MAIO,MASCULINO,NOITE,CHOQUE,AUTOMOVEL,25-29,26,,CONDUTOR,PUBLICO,SEXTA,Vias Municipais,-23.486518,-46.856338,AVENIDA YOJIRO TAKAOKA,POINT (-5216023.686597516 -2690961.758789668)
BARUERI,Metropolitana de São Paulo,2017,5,MAIO,MASCULINO,NOITE,ATROPELAMENTO,PEDESTRE,18-24,20,,PEDESTRE,PUBLICO,SEXTA,Vias Municipais,-23.519135000000002,-46.859407,AVENIDA MARECHAL RONDON,POINT (-5216365.32611476 -2694921.134941166)
BERTIOGA,Baixada Santista,2017,5,MAIO,MASCULINO,NOITE,CHOQUE,CAMINHAO,60-64,61,,CONDUTOR,PUBLICO,SÁBADO,Rodovias,-23.72314072,-46.03728624,SP 098,POINT (-5124847.261740979 -2719707.708222551)
CACAPAVA,São José dos Campos,2017,5,MAIO,MASCULINO,NOITE,NAO DISPONIVEL,MOTOCICLETA,40-44,41,,NAO DISPONIVEL,PUBLICO,QUARTA,Vias Municipais,-23.10060986,-45.70863472,RUA DO PÔRTO PRÓXIMO A PONTE,POINT (-5088261.941886145 -2644190.241212593)
CAIEIRAS,Metropolitana de São Paulo,2017,5,MAIO,FEMININO,NOITE,ATROPELAMENTO,PEDESTRE,55-59,55,,PEDESTRE,PUBLICO,QUINTA,Vias Municipais,-23.389069,-46.738188,RUA RODOLFO POLIDORO,POINT (-5202871.28876029 -2679138.255771793)
CARAPICUIBA,Metropolitana de São Paulo,2017,5,MAIO,MASCULINO,NOITE,COLISAO,MOTOCICLETA,35-39,38,,CONDUTOR,PUBLICO,QUINTA,Vias Municipais,-23.538529,-46.843135,ESTRADA ACÁCIAS VILA MENCK,POINT (-5214553.93536057 -2697275.836707209)
CUBATAO,Baixada Santista,2017,5,MAIO,MASCULINO,NOITE,COLISAO,BICICLETA,45-49,49,,CONDUTOR,PUBLICO,DOMINGO,Rodovias,-23.91998588,-46.41363793,SP 150,POINT (-5166742.540230969 -2743661.067240613)
CUBATAO,Baixada Santista,2017,5,MAIO,MASCULINO,TARDE,ATROPELAMENTO,PEDESTRE,18-24,23,,PEDESTRE,PUBLICO,SEXTA,Rodovias,-23.92446619,-46.40720355,SP 150,POINT (-5166026.268325799 -2744206.683272664)
DIADEMA,Metropolitana de São Paulo,2017,5,MAIO,MASCULINO,MADRUGADA,CHOQUE,AUTOMOVEL,18-24,20,,PASSAGEIRO,PUBLICO,SÁBADO,Vias Municipais,-23.683832000000002,-46.594428,AVENIDA PIRAPORINHA,POINT (-5186867.998763849 -2714928.716771899)
DIADEMA,Metropolitana de São Paulo,2017,5,MAIO,MASCULINO,MANHA,CHOQUE,AUTOMOVEL,35-39,35,,NAO DISPONIVEL,PUBLICO,DOMINGO,Vias Municipais,-23.692746,-46.615237,AVENIDA DOUTOR ULISSES GUIMARÃES,POINT (-5189184.446047765 -2716012.317811831)
DIADEMA,Metropolitana de São Paulo,2017,5,MAIO,MASCULINO,MADRUGADA,CHOQUE,MOTOCICLETA,25-29,25,,CONDUTOR,PUBLICO,SÁBADO,Vias Municipais,-23.682472,-46.61762,AVENIDA PRESTES MAIA,POINT (-5189449.720394326 -2714763.399355193)
EMBU DAS ARTES,Metropolitana de São Paulo,2017,5,MAIO,MASCULINO,NOITE,COLISAO,CAMINHAO,40-44,41,,CONDUTOR,PUBLICO,SÁBADO,Rodovias,-23.67233502,-46.85612946,BR 116,POINT (-5216000.472030905 -2713531.233462347)
EMBU DAS ARTES,Metropolitana de São Paulo,2017,5,MAIO,MASCULINO,NOITE,CHOQUE,NAO DISPONIVEL,25-29,25,,CONDUTOR,PUBLICO,SÁBADO,Vias Municipais,-23.65792074,-46.86414435,ESTRADA KAIKO,POINT (-5216892.685504469 -2711779.319560549)
